Dealer Address Details,,,,,
S.N.,AREA,DEALER NAME,ADDRESS,DISTRICT,CONTACT
27,PROVISION-1,DEV ASHISH ENTERPRISES ,GARAMANI ,Jhapa,9848710891
28,PROVISION-1,DHIRENDRA HARDWARE CENTER ,KARSIYA ,Morang,9814362066
29,PROVISION-1,DIBYA GANESH STORES ,DAMAK ,Jhapa,9842668628
30,PROVISION-1,MANISH IRON PVT LTD,BIRTAMODE ,Jhapa,9852674586
31,PROVISION-1,MATA PATHIBHARA TRADERS ,BIRTAMODE ,Jhapa,9852674804
32,PROVISION-1,NEW PATHIBHARA HARDWARE ,KERKHA,Jhapa,9852670571
33,PROVISION-1,PATHIBHARA HARDWARE ,LAXMIPUR ,Jhapa,9852672592
34,PROVISION-1,SAIMA GENERAL STORE ,HARINAGARA ,Sunsari,9807074448
35,PROVISION-1,SHIV TRADING CONCERN ,DAMAK ,Jhapa,9814966660
36,PROVISION-1,SHREE BISHNU TRADERS ,CHANDRAGADHI ,Jhapa,9842311054
37,PROVISION-1,CHANDRA DEVI ENTERPRISES ,BELBARI-11(LAXMIMARG),Morang,9827300561
38,PROVISION-1,GAURIMATRA SUPPLIERS ,GAURADAHA ,Jhapa,9801717110
39,PROVISION-1,HIMAL LIGHT HOUSE ,PATHARI ,Morang,9866257120
40,PROVISION-1,K&K INTERNATIONAL ,ITHARI ,Sunsari,9852065252
41,PROVISION-1,KANKAI TRADERS ,BIRTAMODE ,Jhapa,9842759559
42,PROVISION-1,BROTHERS TRADERS ,"MADHUMALA,MORANG ",Morang,9825348514
43,PROVISION-1,DADUJI TRADERS ,URLABARI ,Morang,021-540286
44,PROVISION-1,PRAKASH HARDWARE & SUPPLIERS ,CHATRA-SUNSARI,Sunsari,9745480593
45,PROVISION-1,SARITA TRADERS ,URLABARI ,Morang,9852042218
46,PROVISION-1,SHAH HARDWARE PASAL ,"RANGELI,MORANG",Morang,9815341795
47,PROVISION-1,SHIVA OM TRADERS ,"RAMDHNU-5,SUNSARI ",Sunsari,9842565522
48,PROVISION-1,SHREE BALAJI TRADE  & IRON STORES ,"RAJGADH,JHAPA",Jhapa,9825990635
49,PROVISION-1,SHREE GANESH ELECTRICAL& SUPPLIERS ,BIRTAMODE ,Jhapa,9804929426
50,PROVISION-1,SHRESTHA HARDWARE ,ILAM ,Ilam,9852632121
51,PROVISION-2,BIBEK MERCHANDISE & CUNSULT PVT LTD ,LAHAN ,Siraha,9863000001
52,PROVISION-2,KAPIL INTERPRISES,GOLBAZAR ,Siraha,9813212926
53,PROVISION-2,SAKSHAM HARDWARE ,FATTEPUR ,Saptari,9823515112
54,PROVISION-2,TRISHA SUPPLIERS ,RAJBIRAJ ,Saptari,9807731067
55,PROVISION-2,DANUBAR HOME CARE ,GAIGHAT-11,Udayapur,9851128119
56,PROVISION-2,DURGA BHAVANI GENERAL STORES ,BISHNUPUR-2(SIRAHA),Siraha,9852830110
57,PROVISION-2,PREMESHWORI ENTERPRISES,LAHAN ,Siraha,9803759785
58,PROVISION-2,RAM GENERAL STORES ,BODEBARSANI-SAPATARI ,Saptari,9842830158
59,PROVISION-2,SHEIKH TRADERS & SUPPLIERS,BANDIPUR (SIRAHA),Siraha,9801515556
60,PROVISION-2,RAKESH IRON STORES,MIRCHAYA ,Siraha,9842825766
61,PROVISION-2,AACHARYA SUUPLIERS ,RANIGUNJ ,Sarlahi,9854064740
62,PROVISION-2,MAMTA HARDWARE STORES ,LALBANDHI ,Sarlahi,9801603417
63,PROVISION-2,PRASHAMSA TRADERS ,LALBANDHI ,Sarlahi,9844149469
64,PROVISION-2,RAM IRON STORES ,JALESHWOR ,Mahottari,9817832488
65,PROVISION-2,SHIVAM TRADERS ,LALBANDHI ,Sarlahi,9815823222
66,PROVISION-2,SHRRE DURGA JI HARDWARE ,JANAKPUR ,Dhanusha,9804870655
67,PROVISION-2,SHREE SK TRADING ,JANAKPUR ,Dhanusha,9801670020
68,PROVISION-2,SHYAM HARDWARE TATHA GENERAL STORES ,HARIPURBA-SARLAHI ,Sarlahi,9807695722
69,PROVISION-2,BAIJU ENTERPRISES ,BIRGUNJ ,Parsa,9806868772
70,PROVISION-2,GUPTA ENGINNERING & CONSTRUCTION ,"SIMARA,BARA ",Bara,9806855044
71,PROVISION-2,RAMESH & UMESH ENTERPRISES,"KALIYA,BARA ",Bara,9815245635
72,PROVISION-2,TERAI ENTERPRISES & SUPPLIERS ,"JITPUR,BARA ",Bara,9829473910
73,PROVISION-3,ABS HARDWARE SUPPLIERS ,BUDHANILIKANTHA ,Kathmandu,9851094491
74,PROVISION-3,ADITYA ENTERPRISES ,NARAYANTAR ,Kathmandu,9801249677
75,PROVISION-3,ANAND TRADING CONCERN PVT LTD ,TEKU ,Kathmandu,9841217515
76,PROVISION-3,B.K HARDWARE CENTER,DAKSHINKALIN ,Kathmandu,9841209659
77,PROVISION-3,BICKY HARDWARE HOUSE P.  LTD ,SAPAREDUNGA ,Kathmandu,01-4672147
78,PROVISION-3,GANGA ENTERPRISES & COLOR SHOP ,BUDHANILIKANTHA -8,Kathmandu,9851019264
79,PROVISION-3,GIRI TRADING ,"KAPAN,Kathmandu ",Kathmandu,9843310010
80,PROVISION-3,GORKHALI RANG PASAL ,"NAGRIK BAJAR,BANASTHALI ",Kathmandu,9849218012
81,PROVISION-3,HILLTAKE IND.P.LTD,Kathmandu ,Kathmandu,no data
82,PROVISION-3,HUMGAIN HARDWARE ,"KAPAN,Kathmandu ",Kathmandu,9851060688
83,PROVISION-3,K K HARDWARE HOUSE ,BALAJU,Kathmandu,9851025276
84,PROVISION-3,MODERN PAINT & HARDWARE ,LALITPUR ,Lalitpur,9843304644
85,PROVISION-3,NAWA SIDDHI BINAYK ENTERPRISES ,"MULPANI,Kathmandu ",Kathmandu,9861604589
86,PROVISION-3,NEW GANGA ENTERPRISES,"KAPAN,Kathmandu ",Kathmandu,9851029656
87,PROVISION-3,NEW GOLDSTAR HARDWARE ,"BALKUMARI,Kathmandu ",Lalitpur,9851062088
88,PROVISION-3,OM SIDDHI ENTERPRISES ,"IMADOL,Kathmandu ",Lalitpur,9851039319
89,PROVISION-3,PATHIVARA DEVI SUPPLIERS ,Kathmandu-6,Kathmandu,01-4820443
90,PROVISION-3,PDS ENTERPRISES ,"GOKARNESHWOR,Kathmandu ",Kathmandu,9851053071
91,PROVISION-3,POKHARELI MISSION SUPPLIERS ,Kathmandu ,Kathmandu,9851255972
92,PROVISION-3,RAJ ENTERPRISES PVT LTD ,"GODHATAR,Kathmandu ",Kathmandu,9848866347
93,PROVISION-3,RISHIKA PAINTS ,Kathmandu ,Kathmandu,9851063091
94,PROVISION-3,RUDRA BISHNU SUPPLIERS PVT LTD ,BHAKTPUR ,Bhaktapur,9841125011
95,PROVISION-3,RUHYONI ENTERPSRISES ,"JORPATI,Kathmandu ",Kathmandu,9841943870
96,PROVISION-3,SANJU BINDHU ENTERPRISES ,"KRITIPUR,Kathmandu ",Kathmandu,9861595703
97,PROVISION-3,SETIDEVI HARDWARE CENTER,"KOTESHWOR,Kathmandu ",Kathmandu,9851235834
98,PROVISION-3,SHANKAR TRADE LINK ,Kathmandu ,Kathmandu,9851066127
99,PROVISION-3,SHIR HARDWARE & TRADERS ,"CHABAHIL,Kathmandu ",Kathmandu,9851056196
100,PROVISION-3,SHREE DHAKAL ENTERPRISES ,"GONGABU,Kathmandu ",Kathmandu,9851081574
101,PROVISION-3,SHREE KHANIKHOLA ENTERPRISES ,CHUCHEPATI ,Kathmandu,no data
102,PROVISION-3,STUPA ENTERPRISES ,"CHABAHIL,Kathmandu ",Kathmandu,9860078925
103,PROVISION-3,SUDEEP ENTERPRISES ,"BAGDOL,LALITPUR",Lalitpur,9841948058
104,PROVISION-3,V.G ENTERPRISES ,"IMADOL,Kathmandu ",Lalitpur,9851071077
105,PROVISION-3,VIKASH HARDWARE & MACHINERY ,"DHUMBARAHI,Kathmandu ",Kathmandu,9808976483
106,PROVISION-3,S & S TRADERS,"JORPATI,Kathmandu ",Kathmandu,9851076820
107,PROVISION-3,GUHESHWORI HARDWARE,"KUMARIGAL,Kathmandu ",Kathmandu,9851095403
108,PROVISION-3,RIKESH HARDWARE CENTER,"JORPATI,Kathmandu ",Kathmandu,9851080781
109,PROVISION-3,NEW KAILASH HARDWARE,BANEPA ,Kavrepalanchok,9813214123
110,PROVISION-3,SARADA DEVI HARDWARE,"PANAUTI,BANEPA ",Kavrepalanchok,9851187232
111,PROVISION-3,MAA DURGA STORE,BANEPA ,Kavrepalanchok,9841540725
112,PROVISION-3,MODERN PAINTS AND BATHWARE,BANEPA ,Kavrepalanchok,9851052528
113,PROVISION-3,SANGAM HARDWARE AND SUPPLIERS,OKHALDHUNGA ,Okhaldhunga,9842934381
114,PROVISION-3,SP HARDWARE,OKHALDHUNGA ,Okhaldhunga,9840107170
115,PROVISION-3,HUNGA VALLEY TRADE AND SUPPLIERS,SOTANG ,Solukhumbu,9860553132
116,PROVISION-3,MAA KUMARI HARDWARE,SINDHULI ,Sindhuli,9851098519
117,PROVISION-3,VIP TRADERS,SINDHULI ,Sindhuli,9841767716
118,PROVISION-3,JAY SHREE MANGALMAYA STORE,"TINCHULI,Kathmandu ",Kathmandu,9841237758
119,PROVISION-3,DHARKE ENTERPRISES,"DHADING,NAUBICE-1",Dhading,9841296153
120,PROVISION-3,MAA GOLMADEVI ENTERPRISES,PANCHKAL ,Kavrepalanchok,01-6224089
121,PROVISION-3,JAY JALPADEVI TRADERS,"CHANDRAGADHI,Kathmandu ",Jhapa,9851211088
122,PROVISION-3,JAY MAA UGRACHANDI HARDWARE,"TILPOKHARI-5,BANEPA",Kavrepalanchok,9841651216
123,PROVISION-3,KHUMADEVI CONSTRUCTION,SINDHUPALCHOWK,Sindhupalchok,no data
124,PROVISION-3,NEW DEEPAK ENTERPRISE,"CHABAHIL,Kathmandu ",Kathmandu,9851116964
125,PROVISION-3,NIL BARAHI ENTERPRISES,BHAKTPUR,Bhaktapur,9851173952
126,PROVISION-3,PANCHAKANYA HARDWARE SUPPLIERS ,KAVRE ,Kavrepalanchok,9841690269
127,PROVISION-3,JAY MANKAMNA HARDWARE ,SAKHU ,Kathmandu,9851303000
128,PROVISION-3,ARD ENTERPRISES ,"NARAYANGHAT,PARSA-8",Chitwan,9825257313
129,PROVISION-3,ASS STORE ,"GAIDAKOT-10,BHEDABARI ",Nawalpur,9821213635
130,PROVISION-3,ABHIYAN HARDWARE ,CHITWAN ,Chitwan,9845661900
131,PROVISION-3,ARUNG SUPPLIERS ,"ARUNKHOLA-10,NAWALPARSAI",Nawalpur,9857040141
132,PROVISION-3,BHANDARI ENTERPRISES ,NAWALPARSAI ,Nawalpur,9847415919
133,PROVISION-3,BHUSAL HARDWARE ,"ARUNKHOLA,NAWALPARSAI",Nawalpur,9857040141
134,PROVISION-3,DURGA SUPPLIERS ,"DEVPUR-5,TANAHU",Tanahun,9844971387
135,PROVISION-3,INDERNI COLOURS HOUSE ,"BHARATPUR-3,CHITWAN ",Chitwan,9845804704
136,PROVISION-3,KISMAT HARDWARE ,"GAIDAKOT-11,BHEDABARI,NAWALPARSAI",Nawalpur,9869937884
137,PROVISION-3,KRISHAV SUPPLIERS ,CHITWAN ,Chitwan,9845086405
138,PROVISION-3,MAHALAXMI TRADERS & SUPPLIERS,HETAUDA-11,Makwanpur,9855067367
139,PROVISION-3,NAWA DURGA HARDWARE & SUPPLIERS ,CHITWAN ,Chitwan,9845144013
140,PROVISION-3,NEW DECORATION WORLD,CHITWAN ,Chitwan,9865177545
141,PROVISION-3,PRASANNA TRADERS ,"PARSA,CHITWAN ",Chitwan,056-583729
142,PROVISION-3,ROSHANI COLOR HOUSE ,"PULCHOWK,NARAYANGHAT ",Chitwan,9855063907
143,PROVISION-3,S.S SUPPLIERS ,HETAUDA-19,Makwanpur,9855036496
144,PROVISION-3,SAGARMATHA THE SUPPLIERS ,CHITWAN (khairani),Chitwan,9865506916
145,PROVISION-3,SAMPURNA ENTERPRISES,"DADLE,NAWALPARSAI ",Nawalpur,9817444725
146,PROVISION-3,SAPKOTA HARDWARE & SUPPLIERS ,"MAKWANPUR-3,HETAUDA",Makwanpur,9855067753
147,PROVISION-4,OM  SHAKTI TRADING ,ICCHAKAMANA-4 KURINTAR,Chitwan,9845333928
148,PROVISION-4,MANKAMANA HOME WARES ,AABUKHAIRANI-6 TANAHU,Tanahun,9856088330
149,PROVISION-4,PRINCE HARDWARE & PAINTS ,POKHARA DUIPIPAL,Kaski,9819169653
150,PROVISION-4,HIMALAYAN BROTHER GROUP PVT LTD ,"BESISAHAR-07, LAMJUNG",Lamjung,9846099139
151,PROVISION-4,ALL ROJINA HARDWARE ,KAKIMATI-TANAHU,Tanahun,9810167671
152,PROVISION-4,MALLA COLOR HOUSE ,PHIRDI-TANAHU,Tanahun,9856051532
153,PROVISION-4,MAULAKALIKA TRADE SUPPLIERS ,"BHIMAD-06, CAMPUSROAD",Tanahun,9804110366
154,PROVISION-4,NEPAL HARDWARE CENTER ,"PRAGATINAGAR, SYANGJA",Syangja,9846035717
155,PROVISION-4,RAM RAJA HARDWARE ,"POKHARA 17, BIROUTA",Kaski,9846030043
156,PROVISION-4,BHARDWAJ  KC SUPPLIERS ,"HIMJA ,POKHARA ",Kaski,9856029956
157,PROVISION-4,A-ONE INTERIOR DECORATION ,"POKHARA-8, NEWROAD",Kaski,9856034818
158,PROVISION-4,NILGIRI HARDWARE PASAL ,BENI MAGDI,Myagdi,9857645748
159,PROVISION-4,MANSUN SANITARY PAINTS SUPPLIERS ,"Bhirkot-1, Syangja",Syangja,9828044412
160,PROVISION-4,DHOOR BARAHI COLOR HOUSE ,POKHARA SUKLAGANDAKI,Kaski,9856008675
161,PROVISION-4,GLOBAL HARDWARE & ENTERPRISES ,LAMGUNJ ,Lamjung,9846578902
162,PROVISION-4,SARAL HARDWARE & SUPPLIERS ,POKHARA ,Kaski,9856062200
163,PROVISION-4,SHREE GANDAKI SUPPLIERS,SYANGJA,Syangja,9860838720
164,PROVISION-4,TAAL BARAHI TRADERS ,POKHARA ,Kaski,9845894376
165,PROVISION-5,ARYAL SUPPLIERS ,"DEVDAHA-3,RUPANDEHI ",Rupandehi,9857046552
166,PROVISION-5,CHAPAGAIN HARDWARE CENTER ,SUNWAL-4,Nawalparasi West,9806940656
167,PROVISION-5,D&B HARDWARE MULTI SUPPLIERS ,"SUNWAL,PARSA",Parasi,9801353553
168,PROVISION-5,DAKSHINA COLOUR HOUSE & SUPPLIERS ,"HATHBAJAR PATH-13,SIDDHARTHANAGAR",Rupandehi,9801716885
169,PROVISION-5,DURGA MAA TRADERS ,RUPANDEHI,Rupandehi,9857035753
170,PROVISION-5,JUN TARA TRADE LINK PVT LTD ,RUPANDEHI,Rupandehi,9857035684
171,PROVISION-5,KALI GANDAKI TRADE & SUPPLIERS ,BUTWAL,Rupandehi,9849312283
172,PROVISION-5,MALIKA PAINTS ,"TILOTAMA-5,SHANKARPUR ",Rupandehi,9867040644
173,PROVISION-5,NABA GULMELI COLOR HOUSE ,"KALKINAGAR,BUTWAL-11",Rupandehi,9857024627
174,PROVISION-5,NAGDEVI SUPPLIERS ,"AMLABARI,PALPA",Palpa,9861340527
175,PROVISION-5,NEW BHRIKUTI HARDWARE ,BUDDABHUMI-4,Kapilvastu,9846412150
176,PROVISION-5,PAWAN COLOUR & PUMBLING HOUSE ,RUPANDEHI-4,Rupandehi,9857071141
177,PROVISION-5,SHUBH SRIJAN TRADE SUPPLIERS ,"TANSEN-1,PALPA",Palpa,9857062118
178,PROVISION-5,SHUV LAXMI TRADERS ,"SHIVRAJ-10,CHANDRAUTA ",Kapilvastu,9847084406
179,PROVISION-5,SHUV SHREE LAXMI COLORS,"SIDDHARTHANAGAR,BHAIRAHAWA",Rupandehi,9857020491
180,PROVISION-5,Y.P HARDWARE & MULTI SUPPLIERS ,SUNWAL,Nawalparasi West,9867337825
181,PROVISION-5,AJAY TRADERS ,BARDIYA ,Bardiya,9868219799
182,PROVISION-5,BHUMI TRADERS & SUPPLIERS ,BARDIYA ,Bardiya,9868699222
183,PROVISION-5,KANCHA TRADERS ,BANKE ,Banke,9868093943
184,PROVISION-5,LUMBINI TRADERS ,BANKE,Banke,9848173607
185,PROVISION-5,MRP TRADERS ,BARDIYA ,Bardiya,9814576934
186,PROVISION-5,MATA TRADE & SUPPLIERS ,NEPALGUNJ-20,Banke,9848020535
187,PROVISION-5,NABIN HARDWARE ,"BASGADHI,BARDIYA ",Bardiya,9869001018
188,PROVISION-5,NATIONAL HARDWARE & SUPPLIERS ,"BASGADHI,BARDIYA ",Bardiya,9804534732
189,PROVISION-5,PAWAN TRADERS ,"KOHALPUR-15,BANKE ",Banke,9848026059
190,PROVISION-5,PURNA GIRI TRADERS ,"BAIJNATH-6,BANKE ",Banke,9815578883
191,PROVISION-5,RAMAN TRADERS ,"KOHALPUR,BANKE ",Banke,9858052381
192,PROVISION-5,SAMATA TRADERS & SUPPLIERS ,"KOHALPUR-2,BANKE ",Banke,9848181572
193,PROVISION-5,SHIVA COLOUR HOUSE,"KOHALPUR-11,BANKE ",Banke,9848028940
194,PROVISION-5,DHAULAGIRI TRADERS & SUPPLIERS ,"KOHALPUR-11,BANKE ",Banke,9858036573
195,PROVISION-5,KB TRADERS ,"BAIJNATH-5,BANKE ",Banke,9858037390
196,PROVISION-5,ANAND HARDWARE  & SUPPLIERS ,"KHAJURA-7,BANKE ",Banke,9823448640
197,PROVISION-5,BIMAL HARDWARE & SUPPLIERS ,"KHAJURA-3,BANKE ",Banke,9858061556
198,PROVISION-5,SIWANI COLOUR HOUSE ,"KOHALPUR-10,BANKE ",Banke,9858080312
199,PROVISION-5,KALIKA COLOUR HOUSE ,"BASGADHI,BARDIYA ",Bardiya,9858081737
200,PROVISION-5,BAGESHWORI COLOR HOUSE ,NEPALGUNJ-5,Banke,9802729737
201,PROVISION-5,BINAYAK SUPPLIERS ,"KAPILVASTU-10,PACHEHARA",Kapilvastu,9847083543
202,PROVISION-5,BUDDHA HARDWARE ,NAWALPARSAI ,Nawalparasi West,9847558520
203,PROVISION-5,DANGI SUPPLIERS ,DANG ,Dang,9822922489
204,PROVISION-5,GYWALI COLOUR WORLD ,"SAINAMAINA-1,RUPANDEHI ",Rupandehi,9847071100
205,PROVISION-5,GYWALI SUPPLIERS ,BARDIYA-6,Bardiya,9858026633
206,PROVISION-5,IMTIYAJ HARDWARE CENTER ,"BUDDHABHUMI-10,KAPILVASTU ",Kapilvastu,9812942770
207,PROVISION-5,JAY PANCHKOSHI TRADERS ,"KOHALPUR-11,BANKE ",Banke,9864925088
208,PROVISION-5,K.B TRADERS ,"BAIJNATH-5,BANKE ",Banke,9858037390
209,PROVISION-5,NEW THAPA ORDER & SUPPLIERS ,"BIRENDRNAGAR,SURKHET ",Surkhet,9863157381
210,PROVISION-5,NIRAJ TRADERS & SUPPLIERS ,RUPANDEHI-6,Rupandehi,9857021277
211,PROVISION-5,OMAN TRADERS ,"LAMAHI,DANG ",Dang,9748501184
212,PROVISION-5,PRASANSA TRADERS ,BUTWAL ,Rupandehi,9847354097
213,PROVISION-5,PUSPANJALI BISHWA BABA HARDWARE ,"RUDRAPUR,HARIYA",Rupandehi,9857010150
214,PROVISION-5,RANA COLOUR WORLD ,"KANCHAN-4,RUPENDEHI ",Rupandehi,9844708825
215,PROVISION-5,SABITRI SUPPLIERS ,"TULSIPUR,DANG ",Dang,9848422100
216,PROVISION-5,SADKISHYA TRADING & PAINT SUPPLIERS ,BUTWAL ,Rupandehi,9857032635
217,PROVISION-5,SADVAB COLOR HOUSE ,NEPALGUNJ-18,Banke,9858021660
218,PROVISION-5,SAFAL PAINTS SUPPLIERS ,"GORAHI-15,DANG ",Dang,9857834089
219,PROVISION-5,SAKCHYAM ENTERPRISES ,TULSIPUR-18,Dang,9806247682
220,PROVISION-5,SHIV TRADERS ,NEPALGUNJ-5,Banke,9858027051
221,PROVISION-5,SHREE GAYATRI HARDWARE ,"DEVDAHA-8,RUPENDEHI ",Rupandehi,9847045542
222,PROVISION-5,SHREE RAM SUPPLIERS ,DANG ,Dang,9818580436
223,PROVISION-5,SHUBHAM TRADERS,"BAIJNATH-2,BARDIYA ",Bardiya,9858033076
224,PROVISION-5,TAHA TRADERS ,NEPALGUNJ-2,Banke,9863506074
225,PROVISION-5,VANSHIKA TRADERS ,NEPALGUNG-3,Banke,9816596066
226,PROVISION-7,BHUMIRAJ DANDABAGH TRADERS ,KANCHANPUR,Kanchanpur,9821612428
227,PROVISION-7,CMC ENTERPRISES ,KAILALI,Kailali,9843774983
228,PROVISION-7,GANSEH BABA TRADERS ,RAJAPUR-4,Bardiya,9848071581
229,PROVISION-7,GETASMANI ENTERPRISES ,KAILALI,Kailali,9824610570
230,PROVISION-7,H.P HARDWARE TRADE & SUPPLIERS ,KAILALI ,Kailali,9803374031
231,PROVISION-7,KHANO BETAL TRADERS ,KAILALI ,Kailali,9858427574
232,PROVISION-7,KRISHTAL GLASS HOUSE & TRADERS ,KAILALI ,Kailali,9860777305
233,PROVISION-7,MANAKAMANA TRADE LINK ,"BELAURI-6,KAILALI",Kailali,9848446782
234,PROVISION-7,NEW GODAWARI HARDWARE  STORES ,MAHENDRANAGAR ,Kanchanpur,9868445332
235,PROVISION-7,NEW KRITI PUSPANJALII TRADERS ,"KAILALI,DHANGADHI",Kailali,9848488008
236,PROVISION-7,NEW MAYAMTA TRADERS ,BARDIYA ,Bardiya,9848066655
237,PROVISION-7,NEW SHIV SHANKAR TRADERS ,DHANGADHI-14,Kailali,9848497115
238,PROVISION-7,OASIS STORE & SUPPLIERS ,KAILALI ,Kailali,9848633218
239,PROVISION-7,OM RP HARDWARE & SUPPLIERS ,"KANCHANPUR,GULRIA-5",Kanchanpur,9840072500
240,PROVISION-7,PADAM & PRINCE HARDWARE ,DHANGADHI-6,Kailali,9824651194
241,PROVISION-7,PURNIMA HARDWARE & BIJULI BHANDAR ,KAILALI ,Kailali,9858423788
242,PROVISION-7,RAJ & KRISHNA TRADERS ,DHANGADHI-7,Kailali,9812624147
243,PROVISION-7,SAUD TRADE & SUPPLIERS ,"GODAWARI NAPA-2,AATRIYA ",Kailali,9868578743
244,PROVISION-7,SUVASH HARDWARE & SUPPLIERS ,KAILALI ,Kailali,9804640414
